obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 16
162.3406,162.3406,"g,a",,,0.000,61598.87,2p6.3s2,1S,0,3s.40p,1P*,1,,,L2195,
162.3508,162.3508,"g,a",,,0.000,61595.02,2p6.3s2,1S,0,3s.39p,1P*,1,,,L2195,
162.3619,162.3619,"g,a",,,0.000,61590.82,2p6.3s2,1S,0,3s.38p,1P*,1,,,L2195,
162.3737,162.3737,"g,a",,,0.000,61586.33,2p6.3s2,1S,0,3s.37p,1P*,1,,,L2195,
162.3868,162.3869,"g,a",,,0.000,61581.34,2p6.3s2,1S,0,3s.36p,1P*,1,,,L2195,
162.4010,162.4010,"g,a",,,0.000,61575.99,2p6.3s2,1S,0,3s.35p,1P*,1,,,L2195,
162.4165,162.4165,"g,a",,,0.000,61570.11,2p6.3s2,1S,0,3s.34p,1P*,1,,,L2195,
162.4334,162.4334,"g,a",,,0.000,61563.68,2p6.3s2,1S,0,3s.33p,1P*,1,,,L2195,
162.4520,162.4520,"g,a",,,0.000,61556.63,2p6.3s2,1S,0,3s.32p,1P*,1,,,L2195,
162.4727,162.4727,"g,a",,,0.000,61548.81,2p6.3s2,1S,0,3s.31p,1P*,1,,,L2195,
162.4953,162.4953,"g,a",,,0.000,61540.26,2p6.3s2,1S,0,3s.30p,1P*,1,,,L2195,
162.5204,162.5204,"g,a",,,0.000,61530.73,2p6.3s2,1S,0,3s.29p,1P*,1,,,L2195,
162.5485,162.5484,"g,a",,,0.000,61520.12,2p6.3s2,1S,0,3s.28p,1P*,1,,,L2195,
162.5798,162.5798,"g,a",,,0.000,61508.24,2p6.3s2,1S,0,3s.27p,1P*,1,,,L2195,
162.6151,162.6151,"g,a",,,0.000,61494.90,2p6.3s2,1S,0,3s.26p,1P*,1,,,L2195,
162.636,162.636,a,,,0.000,61487,2p6.3s2,1S,0,3s.25d,1D,2,E2,,L3454,
162.6549,162.6549,"g,a",,,0.000,61479.87,2p6.3s2,1S,0,3s.25p,1P*,1,,,L2195,
162.679,162.678,a,,,0.000,61471,2p6.3s2,1S,0,3s.24d,1D,2,E2,,L3454,
162.7000,162.7000,"g,a",,,0.000,61462.82,2p6.3s2,1S,0,3s.24p,1P*,1,,,L2195,
162.727,162.729,a,,,0.000,61452,2p6.3s2,1S,0,3s.23d,1D,2,E2,,L3454,
162.7514,162.7514,"g,a",,,0.000,61443.41,2p6.3s2,1S,0,3s.23p,1P*,1,,,L2195,
162.782,162.782,a,,,0.000,61432,2p6.3s2,1S,0,3s.22d,1D,2,E2,,L3454,
162.8104,162.8104,"g,a",,,0.000,61421.14,2p6.3s2,1S,0,3s.22p,1P*,1,,,L2195,
162.846,162.848,a,,,0.000,61407,2p6.3s2,1S,0,3s.21d,1D,2,E2,,L3454,
162.8786,162.8786,"g,a",,,0.000,61395.43,2p6.3s2,1S,0,3s.21p,1P*,1,,,L2195,
162.921,162.922,a,,,0.000,61379.2,2p6.3s2,1S,0,3s.20d,1D,2,E2,,L3454,
162.9579,162.9579,"g,a",,,0.000,61365.55,2p6.3s2,1S,0,3s.20p,1P*,1,,,L2195,
163.0509,163.0509,"g,a",,,0.000,61330.55,2p6.3s2,1S,0,3s.19p,1P*,1,,,L2195,
163.1609,163.1609,"g,a",,,0.000,61289.19,2p6.3s2,1S,0,3s.18p,1P*,1,,,L2195,
163.2924,163.2924,"g,a",,,0.000,61239.83,2p6.3s2,1S,0,3s.17p,1P*,1,,,L2195,
163.4515,163.4515,"g,a",,,0.000,61180.24,2p6.3s2,1S,0,3s.16p,1P*,1,,,L2195,
163.6465,163.6465,"g,a",,,0.000,61107.34,2p6.3s2,1S,0,3s.15p,1P*,1,,,L2195,
163.8890,163.8889,"g,a",,,0.000,61016.93,2p6.3s2,1S,0,3s.14p,1P*,1,,,L2195,
164.1957,164.1957,"g,a",,,0.000,60902.93,2p6.3s2,1S,0,3s.13p,1P*,1,,,L2195,
164.5924,164.5924,"g,a",,,0.000,60756.13,2p6.3s2,1S,0,3s.12p,1P*,1,,,"L2195,L535",
165.1164,165.1164,"g,a",,,0.000,60563.35,2p6.3s2,1S,0,3s.11p,1P*,1,,,"L2195,L535",
165.8312,165.8312,"g,a",,,0.000,60302.30,2p6.3s2,1S,0,3s.10p,1P*,1,,,"L2195,L535",
166.8429,166.84288,"g,a",,,0.000,59936.63,2p6.3s2,1S,0,3s.9p,1P*,1,,,"L2195,L535",
168.3412,168.34116,"g,a",1.88e+06,D+,0.000,59403.18,2p6.3s2,1S,0,3s.8p,1P*,1,,T5539,"L2195,L535",
170.7061,170.70606,"g,a",3.28e+06,D+,0.000,58580.23,2p6.3s2,1S,0,3s.7p,1P*,1,,T5539,"L2195,L3454",
174.7794,174.77937,"g,a",6.62e+06,C+,0.000,57214.992,2p6.3s2,1S,0,3s.6p,1P*,1,,T5539,"L2195,L535",
